
16, 2, 1, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 1, 2, 13,
7, 10, 11, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 7, 10, 11,
16, 2, 13, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 16, 2, 13,
7, 20, 13, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 16, 21, 11,
16, 17, 13, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 16, 17, 13,
16, 17, 13, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 16, 17, 13,
8, 23, 13, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 16, 22, 12,
16, 2, 13, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 16, 2, 13,
8, 9, 12, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 8, 9, 12,
16, 2, 1, 2, 1, 2, 1, 2, 1, 17, 1, 2, 1, 2, 1, 2, 1, 2, 13,
3, 9, 14, 9, 14, 9, 14, 9, 14, 18, 14, 9, 14, 9, 14, 9, 14, 9, 4
